Marca,Modelo,Precio,Tipo_Combustible,Año,kms,CV,N_Puertas,Tipo_Cambio,color,N_Fotos,Provincia,TDG
1,172,6200,4,2017.0,50071,82.0,2,2,3,6,42,-7.062258064516129
1,814,7851,3,2016.0,103000,100.0,2,2,3,10,7,-12.106228505922813
1,221,19426,3,2014.0,120000,140.0,2,2,3,9,33,-5.1699269020899825
1,813,22850,3,2017.0,107000,130.0,3,2,3,4,39,-3.6768927789934356
1,40,11490,4,2016.0,78665,130.0,2,2,3,32,29,-5.834812880765884
3,321,28500,3,2017.0,36238,150.0,2,3,3,47,6,-0.26603508771929824
1,236,8200,3,2012.0,203000,150.0,2,2,3,15,7,-23.737439024390245
1,157,12100,4,2018.0,45000,110.0,2,2,4,6,2,-2.7096694214876034
1,567,6300,4,2016.0,77000,80.0,2,2,3,6,7,-11.209047619047618
1,157,13900,3,2017.0,81000,100.0,2,2,4,21,31,-4.819928057553957
1,616,1300,4,2001.0,217000,75.0,1,2,4,1,7,-165.86307692307693
3,240,6900,4,2001.0,169450,306.0,3,3,4,13,32,-23.512753623188406
1,599,9500,3,2017.0,101623,95.0,2,2,4,22,29,-9.686842105263159
1,586,13990,4,2019.0,7591,115.0,2,2,4,10,29,0.46583273766976413
1,168,4990,4,2014.0,80000,115.0,2,2,4,9,25,-15.008416833667335
1,322,8000,3,2010.0,135000,120.0,2,2,4,9,33,-15.859625
1,170,12700,4,2018.0,53000,125.0,2,2,4,14,2,-3.1631496062992124
1,174,12490,4,2019.0,13000,68.0,2,2,2,7,18,-0.035148118494795835
2,729,28900,3,2020.0,5000,116.0,2,3,4,4,7,0.8311764705882353
1,138,8490,3,2014.0,139990,130.0,2,2,4,33,29,-15.473144876325089
2,103,5000,3,2006.0,222500,140.0,2,2,4,6,7,-43.4712
2,872,10890,3,2009.0,214650,175.0,2,3,3,36,7,-18.694214876033058
1,114,15300,3,2016.0,67602,114.0,2,2,4,12,29,-3.41078431372549
1,369,12790,4,2018.0,29000,125.0,2,2,4,0,29,-1.2573885848319
1,73,12800,3,2016.0,60029,120.0,2,2,4,14,32,-3.68015625
2,733,10000,3,2009.0,162000,177.0,3,3,3,25,29,-15.1818
1,688,29300,3,2019.0,11936,150.0,2,3,2,30,28,0.5978839590443686
1,220,14650,4,2019.0,14000,90.0,2,2,3,10,29,0.05071672354948806
1,449,11400,4,2017.0,28000,110.0,2,3,2,6,7,-1.446140350877193
2,735,18900,3,2014.0,99800,190.0,2,3,4,29,4,-4.27010582010582
1,77,37000,6,2020.0,1200,225.0,2,3,4,22,36,0.9737567567567568
1,47,6750,3,2015.0,215000,120.0,2,3,2,9,16,-30.83348148148148
1,875,32300,6,2021.0,2800,141.0,2,2,4,6,31,0.9177708978328173
1,455,9500,3,2016.0,101859,120.0,2,2,4,21,29,-9.709052631578947
1,407,11300,3,2016.0,77867,110.0,2,2,4,26,7,-5.8808849557522125
1,263,9500,4,2018.0,43543,75.0,2,2,4,22,7,-3.575263157894737
1,3,4200,4,2007.0,118000,110.0,1,2,2,13,6,-27.06833333333333
1,684,26995,3,2021.0,1,130.0,2,2,4,19,49,1.0048897944063715
1,409,14900,3,2016.0,155000,115.0,2,2,4,9,26,-9.39476510067114
1,296,19150,4,2019.0,13871,81.0,2,2,4,25,0,0.2800522193211488
1,507,10500,3,2016.0,127000,110.0,2,2,3,27,9,-11.08447619047619
1,507,26400,3,2020.0,50,150.0,2,3,2,14,44,1.003939393939394
1,567,7900,4,2015.0,54200,80.0,2,2,3,2,36,-5.850253164556962
3,238,13500,3,2014.0,104000,109.0,2,3,3,42,2,-6.695185185185185
3,245,23900,3,2016.0,150276,194.0,2,3,2,44,47,-5.279330543933054
1,327,8399,4,2014.0,88056,125.0,2,2,3,24,39,-9.468865341112037
1,566,10499,3,2017.0,47396,90.0,2,2,4,10,39,-3.505476712067816
1,192,17890,3,2015.0,90000,140.0,2,3,3,19,8,-4.022694242593627
3,261,44097,3,2019.0,24429,163.0,2,3,4,27,29,0.449849196090437
1,263,10000,4,2008.0,180000,200.0,1,2,4,12,8,-16.9797
2,872,18990,3,2016.0,93000,150.0,2,2,3,19,47,-3.8892048446550818
1,327,8500,3,2014.0,202100,109.0,2,2,3,28,29,-22.76329411764706
2,104,11900,3,2014.0,165999,120.0,2,2,4,21,32,-12.9390756302521
1,71,11900,3,2015.0,86686,120.0,2,2,4,30,39,-6.2742016806722685
1,263,16190,4,2020.0,3239,100.0,2,2,4,17,29,0.8063001852995676
